Series Name;Series Code;Country Name;Country Code;2013 [YR2013]
Forest area (% of land area);AG.LND.FRST.ZS;Mongolia;MNG;8.205.257.601.895
Forest area (% of land area);AG.LND.FRST.ZS;Montenegro;MNE;614.869.888.475.836
Forest area (% of land area);AG.LND.FRST.ZS;Morocco;MAR;1.265.516.468.743
Forest area (% of land area);AG.LND.FRST.ZS;Mozambique;MOZ;487.713.319.260.408
Forest area (% of land area);AG.LND.FRST.ZS;Myanmar;MMR;461.410.546.946.775
Forest area (% of land area);AG.LND.FRST.ZS;Namibia;NAM;85.843.384.469.628
Forest area (% of land area);AG.LND.FRST.ZS;Nepal;NPL;25.364.492.500.872
Forest area (% of land area);AG.LND.FRST.ZS;Netherlands;NLD;111.315.711.315.711
Forest area (% of land area);AG.LND.FRST.ZS;New Caledonia;NCL;458.971.553.610.503
Forest area (% of land area);AG.LND.FRST.ZS;New Zealand;NZL;385.537.959.059.664
Forest area (% of land area);AG.LND.FRST.ZS;Nicaragua;NIC;258.766.827.322.586
Forest area (% of land area);AG.LND.FRST.ZS;Niger;NER;0.921133654377516
Forest area (% of land area);AG.LND.FRST.ZS;Nigeria;NGA;857.757.721.488.411
Forest area (% of land area);AG.LND.FRST.ZS;Northern Mariana Islands;MNP;648.478.260.869.565
Forest area (% of land area);AG.LND.FRST.ZS;Norway;NOR;331.503.511.341.702
Forest area (% of land area);AG.LND.FRST.ZS;Oman;OMN;0.00646203554119548
Forest area (% of land area);AG.LND.FRST.ZS;Pakistan;PAK;202.106.683.271.067
Forest area (% of land area);AG.LND.FRST.ZS;Palau;PLW;876.086.956.521.739
Forest area (% of land area);AG.LND.FRST.ZS;Panama;PAN;625.477.535.647.027
Forest area (% of land area);AG.LND.FRST.ZS;Papua New Guinea;PNG;741.169.456.344.124
Forest area (% of land area);AG.LND.FRST.ZS;Paraguay;PRY;40.205.889.755.852
Forest area (% of land area);AG.LND.FRST.ZS;Peru;PER;5.805.328.125
Forest area (% of land area);AG.LND.FRST.ZS;Philippines;PHL;253.546.634.470.269
Forest area (% of land area);AG.LND.FRST.ZS;Poland;POL;306.737.206.492.277
Forest area (% of land area);AG.LND.FRST.ZS;Portugal;PRT;349.868.995.633.188
Forest area (% of land area);AG.LND.FRST.ZS;Puerto Rico;PRI;551.668.545.659.526
Forest area (% of land area);AG.LND.FRST.ZS;Qatar;QAT;0
Forest area (% of land area);AG.LND.FRST.ZS;Romania;ROM;292.248.837.108.203
Forest area (% of land area);AG.LND.FRST.ZS;Russian Federation;RUS;497.660.749.581.575
Forest area (% of land area);AG.LND.FRST.ZS;Rwanda;RWA;189.055.533.036.076
Forest area (% of land area);AG.LND.FRST.ZS;Samoa;WSM;604.240.282.685.512
Forest area (% of land area);AG.LND.FRST.ZS;San Marino;SMR;0
Forest area (% of land area);AG.LND.FRST.ZS;Sao Tome and Principe;STP;558.333.333.333.333
Forest area (% of land area);AG.LND.FRST.ZS;Saudi Arabia;SAU;0.454484134921779
Forest area (% of land area);AG.LND.FRST.ZS;Senegal;SEN;433.854.464.239.339
Forest area (% of land area);AG.LND.FRST.ZS;Serbia;SRB;310.679.167.619.483
Forest area (% of land area);AG.LND.FRST.ZS;Seychelles;SYC;893.846.153.846.154
Forest area (% of land area);AG.LND.FRST.ZS;Sierra Leone;SLE;404.100.858.963.702
Forest area (% of land area);AG.LND.FRST.ZS;Singapore;SGP;231.258.840.169.731
Forest area (% of land area);AG.LND.FRST.ZS;Sint Maarten (Dutch part);SXM;..
Forest area (% of land area);AG.LND.FRST.ZS;Slovak Republic;SVK;403.343.869.572.451
Forest area (% of land area);AG.LND.FRST.ZS;Slovenia;SVN;619.463.753.723.932
Forest area (% of land area);AG.LND.FRST.ZS;Solomon Islands;SLB;78.463.737.048.946
Forest area (% of land area);AG.LND.FRST.ZS;Somalia;SOM;103.876.685.688.781
Forest area (% of land area);AG.LND.FRST.ZS;South Africa;ZAF;761.773.652.408.313
Forest area (% of land area);AG.LND.FRST.ZS;South Sudan;SSD;..
Forest area (% of land area);AG.LND.FRST.ZS;Spain;ESP;36.683.792.807.021
Forest area (% of land area);AG.LND.FRST.ZS;Sri Lanka;LKA;332.195.822.037.952
Forest area (% of land area);AG.LND.FRST.ZS;St. Kitts and Nevis;KNA;423.076.923.076.923
Forest area (% of land area);AG.LND.FRST.ZS;St. Lucia;LCA;334.754.098.360.656
Forest area (% of land area);AG.LND.FRST.ZS;St. Martin (French part);MAF;..
Forest area (% of land area);AG.LND.FRST.ZS;St. Vincent and the Grenadines;VCT;692.307.692.307.692
Forest area (% of land area);AG.LND.FRST.ZS;Sudan;SDN;823.180.555.555.556
Forest area (% of land area);AG.LND.FRST.ZS;Suriname;SUR;983.307.692.307.692
Forest area (% of land area);AG.LND.FRST.ZS;Swaziland;SWZ;335.348.837.209.302
Forest area (% of land area);AG.LND.FRST.ZS;Sweden;SWE;689.178.573.182.108
Forest area (% of land area);AG.LND.FRST.ZS;Switzerland;CHE;315.416.540.135.641
Forest area (% of land area);AG.LND.FRST.ZS;Syrian Arab Republic;SYR;267.385.503.458.041
Forest area (% of land area);AG.LND.FRST.ZS;Tajikistan;TJK;293.798.228.065.161
Forest area (% of land area);AG.LND.FRST.ZS;Tanzania;TZA;528.381.124.407.315
Forest area (% of land area);AG.LND.FRST.ZS;Thailand;THA;319.814.441.464.895
Forest area (% of land area);AG.LND.FRST.ZS;Timor-Leste;TMP;476.395.427.034.297
Forest area (% of land area);AG.LND.FRST.ZS;Togo;TGO;418.459.275.602.133
Forest area (% of land area);AG.LND.FRST.ZS;Tonga;TON;12.5
Forest area (% of land area);AG.LND.FRST.ZS;Trinidad and Tobago;TTO;450.779.727.095.517
Forest area (% of land area);AG.LND.FRST.ZS;Tunisia;TUN;656.925.849.639.547
Forest area (% of land area);AG.LND.FRST.ZS;Turkey;TUR;149.554.980.964.879
Forest area (% of land area);AG.LND.FRST.ZS;Turkmenistan;TKM;878.215.904.496.414
Forest area (% of land area);AG.LND.FRST.ZS;Turks and Caicos Islands;TCA;362.105.263.157.895
Forest area (% of land area);AG.LND.FRST.ZS;Tuvalu;TUV;333.333.333.333.333
Forest area (% of land area);AG.LND.FRST.ZS;Uganda;UGA;117.065.629.363.655
Forest area (% of land area);AG.LND.FRST.ZS;Ukraine;UKR;16.594.282.952.427
Forest area (% of land area);AG.LND.FRST.ZS;United Arab Emirates;ARE;383.349.282.296.651
Forest area (% of land area);AG.LND.FRST.ZS;United Kingdom;GBR;128.549.580.457.157
Forest area (% of land area);AG.LND.FRST.ZS;United States;USA;338.395.963.014.708
Forest area (% of land area);AG.LND.FRST.ZS;Uruguay;URY;102.817.963.661.296
Forest area (% of land area);AG.LND.FRST.ZS;Uzbekistan;UZB;762.139.163.140.574
Forest area (% of land area);AG.LND.FRST.ZS;Vanuatu;VUT;360.951.599.671.862
Forest area (% of land area);AG.LND.FRST.ZS;Venezuela, RB;VEN;532.983.390.964.231
Forest area (% of land area);AG.LND.FRST.ZS;Vietnam;VNM;468.120.101.912.471
Forest area (% of land area);AG.LND.FRST.ZS;Virgin Islands (U.S.);VIR;509.142.857.142.857
Forest area (% of land area);AG.LND.FRST.ZS;West Bank and Gaza;WBG;152.325.581.395.349
Forest area (% of land area);AG.LND.FRST.ZS;Yemen, Rep.;YEM;103.983.180.862.549
Forest area (% of land area);AG.LND.FRST.ZS;Zambia;ZMB;658.714.806.494.572
Forest area (% of land area);AG.LND.FRST.ZS;Zimbabwe;ZWE;37.965.102.753.005
;;;;
;;;;
;;;;
Data from database: World Development Indicators;;;;
Last Updated: 02/17/2016;;;;
